Title,Release Date,Genre,Number of Discs,Price Tier,Type,Summary,
Grown Ups 2,12-Jul-13,Comedy,1,1,Movie,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",a032
Hansel & Gretel: Witch Hunters,23-Jan-13,Action/Fantasy/Horror,1,1,Movie,"Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past.",a033
Hidden Colors,17-Apr-11,Documentary,1,1,Movie,Hidden Colors is a documentary about the real and untold history of people of color around the globe. This film discusses some of the reasons the contributions of African and aboriginal people have been left out of the pages of history.,a034
Hidden Colors 2: The Triumph of Melanin,6-Dec-12,Documentary,1,1,Movie,"""Hidden Colors 2"" is the follow-up to the critically acclaimed 2011 documentary about the untold history of people of African and aboriginal descent.",a035
Hotel Transylvania,28-Sep-12,Animation/Comedy/Family,1,1,Movie,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.",a036
House At the End of the Street,21-Sep-12,Horror/Thriller,1,1,Movie,"When a teenager and her mother move to a little town, the girl finds that an accident happened in the house at the end of the street. But things get complicated when she befriends a boy who is the only survivor in the accident.",a037
Identity Thief,8-Feb-13,Comedy/Crime,1,1,Movie,Mild-mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless-looking woman who has been living it up after stealing Sandy's identity.,a038
Iron Man 3,3-May-13,Action/Adventure/Sci-Fi,1,1,Movie,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",a039
Jack Reacher,21-Dec-12,Action/Crime/Thriller,1,1,Movie,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,a040
Jack the Giant Slayer,1-Mar-13,Adventure/Fantasy,1,1,Movie,"The ancient war between humans and a race of giants is reignited when Jack, a young farmhand fighting for a kingdom and the love of a princess, opens a gateway between the two worlds.",a041
Jorge Cervantes: The Ultimate Grow Collection,29-Aug-06,Documentary/DIY,1,1,Other,Step-by-step marijuana growing techniques from the master Jorge Cervantes! (3) part DVD collection.,a042
Kevin Hart: Let Me Explain,3-Jul-13,Comedy/Documentary,1,1,Movie,"Filmed at a sold-out performance at Madison Square Garden, comedian Kevin Hart delivers material from his 2012 ""Let Me Explain"" concert tour.",a043
Killing Season,25-Jul-13,Action/Drama/Thriller,1,1,Movie,"Two veterans of the Bosnian War -- one American, one Serbian -- find their unlikely friendship turn tense with one of them reveals their true intentions.",a044
Les Misérables,25-Dec-12,Drama/Musical/Romance,1,1,Movie,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after he breaks parole, agrees to care for factory worker Fantine's daughter, Cosette. The fateful decision changes their lives forever.",a045
Life of Pi,21-Nov-12,Adventure/Drama/Fantasy,1,1,Movie,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",a046
Lincoln,16-Nov-12,Biography/Drama/History,1,1,Movie,"As the Civil War continues to rage, America's president struggles with continuing carnage on the battlefield and as he fights with many inside his own cabinet on the decision to emancipate the slaves.",a047
Looper,28-Sep-12,Action/Crime/Sci-fi,1,1,Movie,"In 2074, when the mob wants to get rid of someone, the target is sent 30 years into the past, where a hired gun awaits. Someone like Joe, who one day learns the mob wants to 'close the loop' by transporting back Joe's future self.",a048
"Love & Hip Hop: Season 3 ""New York""",7-Jan-13,Reality/Drama,2,2,TV Series,"Love & Hip Hop is an American reality television series on VH1. The series debuted on March 14, 2011. The series follows the lives of several women who are involved with hip hop.",a049
Mama,18-Jan-13,Horror/Thriller,1,1,Movie,Annabel and Lucas are faced with the challenge of raising his young nieces that were left alone in the forest for 5 years.... but how alone were they?,a050
Man of Steel,14-Jun-13,Action/Adventure/Fantasy,1,1,Movie,A young itinerant worker is forced to confront his secret extraterrestrial heritage when Earth is invaded by members of his race.,a051
Movie 43,25-Jan-13,Comedy,1,1,Movie,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,a052
Mud,10-Jun-13,Drama,1,1,Movie,Two young boys encounter a fugitive and form a pact to help him evade the bounty hunters on his trail and to reunite him with his true love.,a053
Oblivion,19-Apr-13,Action/Adventure/Mystery,1,1,Movie,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,a054
Odd Thomas,17-Jul-13,Mystery/Thriller,1,1,Movie,"In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces.",a055
Olympus Has Fallen,22-Mar-13,Action/Thriller,1,1,Movie,"Disgraced former Presidential guard Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",a056
Orange is the New Black - Season 1,11-Jul-13,Comedy/Crime/Drama,2,2,TV Series,"The story of Piper Chapman (Taylor Schilling), a woman in her thirties who is sentenced to 15 months in prison after she is convicted of a decade old crime of transporting money for her drug dealing girlfriend (Laura Prepon).",a057
Oz the Great and Powerful,8-Mar-13,Adventure/Family/Fantasy,1,1,Movie,A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.,a058
P90X: Extreme Workout Series,1-Jan-03,Exercise/Fitness,2,2,Other,"P90X, or Power 90 Extreme, is a commercial home exercise regimen, known for its intensity. It is designed to take 90 days, and consists of a training program which uses cross-trainingwhich uses cross-training.",a059
Pain & Gain,26-Apr-13,Comedy/Crime/Drama,1,1,Movie,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,a060
Parker,25-Jan-13,Crime/Action,1,1,Movie,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",a061
